,accuracy,loss,val_accuracy,val_loss
0,0.6755833625793457,0.858827531337738,0.8724126219749451,0.5169391632080078
1,0.8715833425521851,0.39890027046203613,0.9053274393081665,0.3154601752758026
2,0.9126666784286499,0.2640902101993561,0.9178826212882996,0.2405182123184204
3,0.9309999942779541,0.20263108611106873,0.9263657927513123,0.2037355601787567
4,0.9418333172798157,0.1653660237789154,0.9246691465377808,0.1916676163673401
5,0.9495000243186951,0.14136506617069244,0.9412962198257446,0.16478070616722107
6,0.9559999704360962,0.12335992604494095,0.9328130483627319,0.17091338336467743
7,0.9626666903495789,0.10984128713607788,0.9450288414955139,0.14597611129283905
8,0.9646666646003723,0.10052528232336044,0.9423142075538635,0.15662454068660736
9,0.9674999713897705,0.09140234440565109,0.9399389028549194,0.15639209747314453
10,0.9700000286102295,0.08509989082813263,0.9385815858840942,0.1564515233039856
11,0.9715833067893982,0.08010055124759674,0.9426535367965698,0.1539001166820526
12,0.9752500057220459,0.07352450489997864,0.937224268913269,0.16260579228401184
13,0.9744166731834412,0.06927542388439178,0.947404146194458,0.14726783335208893
14,0.9766666889190674,0.06696189194917679,0.9443501830101013,0.15530428290367126
15,0.9773333072662354,0.06409206241369247,0.940617561340332,0.1627388745546341
16,0.9779166579246521,0.061158038675785065,0.929419755935669,0.18471284210681915
17,0.9785000085830688,0.059850260615348816,0.9402782320976257,0.169902965426445
18,0.9785833358764648,0.056308913975954056,0.9501187801361084,0.14527183771133423
19,0.9800833463668823,0.05465468391776085,0.9558873176574707,0.13406354188919067
20,0.9815000295639038,0.05293971300125122,0.9463861584663391,0.16012988984584808
21,0.9819166660308838,0.04997994005680084,0.9535120725631714,0.13835296034812927
22,0.9819166660308838,0.05002228170633316,0.9402782320976257,0.18357588350772858
23,0.9823333621025085,0.04731770232319832,0.9514760971069336,0.1528826206922531
24,0.984333336353302,0.04588627442717552,0.954190731048584,0.14278222620487213
25,0.9838333129882812,0.04572122544050217,0.954190731048584,0.14431343972682953
26,0.984333336353302,0.043102946132421494,0.9521547555923462,0.15905900299549103
27,0.9850833415985107,0.04283976927399635,0.9484221339225769,0.17063204944133759
28,0.9836666584014893,0.0428401380777359,0.9457074999809265,0.1746976375579834
29,0.984000027179718,0.04200403764843941,0.9535120725631714,0.1484784036874771
30,0.984749972820282,0.04096495732665062,0.9470648169517517,0.17226380109786987
31,0.9856666922569275,0.03946470469236374,0.9558873176574707,0.1416790932416916
32,0.9864166378974915,0.0387033149600029,0.9487614631652832,0.16824252903461456
33,0.9852499961853027,0.03886890783905983,0.9545300602912903,0.15001235902309418
34,0.987333357334137,0.03855833038687706,0.9552086591720581,0.1452753096818924
35,0.9865000247955322,0.036964137107133865,0.9569053053855896,0.14533676207065582
36,0.9879166483879089,0.03509973734617233,0.9528334140777588,0.15902647376060486
37,0.9884166717529297,0.03379572555422783,0.947404146194458,0.18098625540733337
38,0.987333357334137,0.035459984093904495,0.9514760971069336,0.16093310713768005
39,0.987666666507721,0.03467277064919472,0.9548693299293518,0.15011821687221527
40,0.9869999885559082,0.03548833355307579,0.950797438621521,0.17018531262874603
41,0.9884166717529297,0.032781533896923065,0.9467254877090454,0.18743382394313812
42,0.9889166951179504,0.03274393081665039,0.9528334140777588,0.1578601896762848
43,0.9881666898727417,0.031469590961933136,0.9552086591720581,0.15144599974155426
44,0.9889166951179504,0.03145560622215271,0.9528334140777588,0.1760498434305191
45,0.9884999990463257,0.031037861481308937,0.9511367678642273,0.17554976046085358
46,0.9879166483879089,0.031995825469493866,0.954190731048584,0.16203320026397705
47,0.9892500042915344,0.03099583461880684,0.9575839638710022,0.14995332062244415
48,0.9884166717529297,0.03208350017666817,0.9460468292236328,0.1948961615562439
49,0.9890833497047424,0.03180244565010071,0.9528334140777588,0.1736413687467575
50,0.9889166951179504,0.030303096398711205,0.9579232931137085,0.154542937874794
51,0.9890833497047424,0.029491377994418144,0.9575839638710022,0.15701627731323242
52,0.9885833263397217,0.030189571902155876,0.9582626223564148,0.15322242677211761
53,0.9899166822433472,0.028218407183885574,0.9518154263496399,0.18824951350688934
54,0.9894166588783264,0.030265076085925102,0.954190731048584,0.17058269679546356
55,0.9888333082199097,0.030067630112171173,0.9484221339225769,0.19018635153770447
56,0.9889166951179504,0.02771366946399212,0.9586019515991211,0.15834306180477142
57,0.9898333549499512,0.02935796044766903,0.9555479884147644,0.17463789880275726
58,0.9900833368301392,0.027789805084466934,0.956226646900177,0.16345664858818054
59,0.9910833239555359,0.02664025127887726,0.9379029273986816,0.24465185403823853
