,accuracy,loss,val_accuracy,val_loss
0,0.4833333194255829,1.7631819248199463,0.6389548778533936,0.7153819799423218
1,0.7816666960716248,0.47560909390449524,0.8228707313537598,0.45750850439071655
2,0.8583333492279053,0.3346683084964752,0.8038683533668518,0.4197861850261688
3,0.8799999952316284,0.2851855158805847,0.8954869508743286,0.2466602772474289
4,0.9483333230018616,0.16088101267814636,0.917203962802887,0.20440784096717834
5,0.9233333468437195,0.16631922125816345,0.8812351822853088,0.3258303999900818
6,0.9316666722297668,0.1948338896036148,0.8238887190818787,0.4885774850845337
7,0.9583333134651184,0.11720763146877289,0.9107567071914673,0.23769240081310272
8,0.9449999928474426,0.1424153596162796,0.7872412800788879,0.6977975368499756
9,0.9333333373069763,0.17326553165912628,0.9216151833534241,0.2203422337770462
10,0.9683333039283752,0.07675237953662872,0.8693586587905884,0.3466907739639282
11,0.9649999737739563,0.08622564375400543,0.8893790245056152,0.3478211462497711
12,0.9083333611488342,0.22080756723880768,0.8903970122337341,0.3149627447128296
13,0.9066666960716248,0.38971999287605286,0.8361045122146606,0.45030295848846436
14,0.9416666626930237,0.15132470428943634,0.8493382930755615,0.3970526456832886
15,0.9783333539962769,0.07032349705696106,0.9151679873466492,0.21975423395633698
16,0.9683333039283752,0.08958464115858078,0.8805565237998962,0.3286755383014679
17,0.9816666841506958,0.05803139880299568,0.9019341468811035,0.29147210717201233
18,0.971666693687439,0.06592579185962677,0.8564642071723938,0.446246474981308
19,0.9950000047683716,0.03192619979381561,0.91923987865448,0.2455182820558548
20,0.9850000143051147,0.043628793209791183,0.9134713411331177,0.25579944252967834
21,0.9883333444595337,0.040374450385570526,0.9182218909263611,0.24272851645946503
22,0.9783333539962769,0.05030205845832825,0.8713946342468262,0.4023512899875641
23,0.9750000238418579,0.06838928908109665,0.8778418898582458,0.4063813388347626
24,0.9750000238418579,0.07339830696582794,0.9063454270362854,0.28959447145462036
25,0.971666693687439,0.07258521020412445,0.9100780487060547,0.2763327956199646
26,0.9733333587646484,0.06308803707361221,0.9114353656768799,0.26154622435569763
27,0.9883333444595337,0.0399225614964962,0.9304377436637878,0.21318396925926208
28,0.9916666746139526,0.026100467890501022,0.8958262801170349,0.33835577964782715
29,0.9883333444595337,0.033688053488731384,0.9233118295669556,0.23498520255088806
30,0.9633333086967468,0.08043630421161652,0.8992195725440979,0.32913148403167725
31,0.9916666746139526,0.016937632113695145,0.9114353656768799,0.2852323353290558
32,0.9950000047683716,0.017909737303853035,0.9250084757804871,0.23358654975891113
33,0.9983333349227905,0.012536054477095604,0.9110960364341736,0.2987542450428009
34,0.996666669845581,0.010948918759822845,0.9117746949195862,0.31600865721702576
