round,server_s,client_s,comm_bytes
1,1.020376500004204,61.014012965001164,38864368
2,6.133066700014751,144.37413451500325,77728736
3,0.789761299995007,148.68015378500132,77728736
4,0.3418585999752395,129.45145667999896,77728736
5,0.4741825999808498,135.22415241499692,77728736
6,0.4665567000047304,137.49876547000312,77728736
7,0.6979762999981176,123.30900797000359,77728736
8,0.9069533000001684,115.07654686500027,77728736
9,0.40782719998969696,137.69123819000234,77728736
10,0.29002360001322813,121.18781524500082,77728736
11,0.5098475000122562,135.62596168499294,77728736
12,0.2929336999950465,118.15026578999678,77728736
13,0.31698810000671074,128.0833101250042,77728736
14,0.06259459999273531,110.76875181000068,77728736
15,0.026446899981237948,91.61874373499886,77728736
16,0.020103599992580712,88.30316986000544,77728736
17,0.020523499988485128,89.43732609500003,77728736
18,0.025662600004579872,87.95971335000067,77728736
19,0.12759349998668768,96.32844983000105,77728736
20,0.5103311999992002,126.46934763500322,77728736
21,0.45731050000176765,131.69156440999797,77728736
22,0.09025219999602996,117.62421974999742,77728736
23,0.031034799991175532,102.657045775,77728736
24,0.02787510000052862,96.14881339499989,77728736
25,0.028866600012406707,95.49724379499821,77728736
26,0.029128800000762567,102.366039395002,77728736
27,0.027697900019120425,92.34560374500143,77728736
28,0.150009000004502,102.88168647499552,77728736
29,0.030964899982791394,91.27917221000243,77728736
30,0.022614599991356954,89.86676696500217,77728736
31,0.022624699980951846,86.30383916000137,77728736
32,0.01697900000726804,90.47766667499818,77728736
33,0.022089799982495606,88.99146000500187,77728736
34,0.02870180000900291,88.09273757500341,77728736
35,0.04253499998594634,92.32116298499895,77728736
36,0.047755999985383824,91.39637892000174,77728736
37,0.015923700004350394,87.49470697499927,77728736
38,0.027489100000821054,86.10356170000159,77728736
39,0.03727380000054836,90.18358475500136,77728736
40,0.03351570002269,90.05376993000536,77728736
41,0.029407699999865144,95.31743822999852,77728736
42,0.042265199997927994,93.52200362500007,77728736
43,0.050299800001084805,93.6023950999981,77728736
44,0.061205800011521205,90.67724341500143,77728736
45,0.3480962000321597,105.98475510500575,77728736
46,0.42388200003188103,135.5156373899954,77728736
47,0.04810910002561286,129.4097018499975,77728736
48,0.47534150001592934,122.76442351499864,77728736
49,0.8386834000120871,131.54782079500146,77728736
50,0.1275307000032626,101.17232079500681,77728736
