round,server_s,client_s,comm_bytes
1,0.2221092999971006,52.0903873000032,19283832
2,0.17660789999354165,135.91441463000083,38567664
3,0.019394499991904013,106.15977018999838,38567664
4,0.009951599990017712,93.32998177999688,38567664
5,0.013472200007527135,82.08036867000047,38567664
6,0.024388999998336658,90.00576339999824,38567664
7,0.020694999999250285,79.98734981999732,38567664
8,0.05190469999797642,94.01428756999812,38567664
9,0.012903599999845028,79.53676759000082,38567664
10,0.01157940000121016,79.85309721999656,38567664
11,0.025850999998510815,86.84442395999504,38567664
12,0.01308019999123644,110.30760463999468,38567664
13,0.009950299994670786,89.40213240000011,38567664
14,0.010975499986670911,85.8096264399981,38567664
15,0.0222353999997722,90.79099028999917,38567664
16,0.10467339999740943,121.3696289099942,38567664
17,0.17579540000588167,93.0307347199996,38567664
18,0.09588110000186134,99.63076097999874,38567664
19,0.018268699990585446,102.1205684799992,38567664
20,0.025937300000805408,102.27341597999911,38567664
21,0.15520910000486765,117.82220989999769,38567664
22,0.16187290000380017,127.15784401000128,38567664
23,0.034720800002105534,99.5556878000003,38567664
24,0.0432684999977937,104.61210182000359,38567664
25,0.14900710000074469,122.86754636999976,38567664
26,0.07644049999362323,112.06744133999891,38567664
27,0.010752500005764887,92.36509797999607,38567664
28,0.00929329999780748,87.77830484999868,38567664
29,0.013704800003324635,89.49278710000071,38567664
30,0.01233660000434611,88.49886030999623,38567664
