epoch,accuracy,loss,val_accuracy,val_loss
0,0.6209999918937683,1.2681732177734375,0.8251000046730042,0.5872317552566528
1,0.828000009059906,0.5262222290039062,0.8899000287055969,0.3984963297843933
2,0.8999999761581421,0.31938278675079346,0.9071000218391418,0.326019287109375
3,0.9259999990463257,0.23844608664512634,0.9074000120162964,0.31381866335868835
4,0.9480000138282776,0.17592209577560425,0.914900004863739,0.29494550824165344
0,0.6159999966621399,1.401218295097351,0.8016999959945679,0.6621343493461609
1,0.7889999747276306,0.626264214515686,0.8310999870300293,0.5260974168777466
2,0.8510000109672546,0.43674522638320923,0.8776999711990356,0.41936010122299194
3,0.8899999856948853,0.32617515325546265,0.8876000046730042,0.389055997133255
4,0.8939999938011169,0.3092760145664215,0.8945000171661377,0.3793768286705017
0,0.8939999938011169,0.3595302402973175,0.8925999999046326,0.35189634561538696
1,0.9129999876022339,0.31440410017967224,0.9052000045776367,0.31441712379455566
2,0.9129999876022339,0.258642315864563,0.9032999873161316,0.3255474269390106
3,0.9139999747276306,0.235565647482872,0.9042999744415283,0.33764979243278503
4,0.9380000233650208,0.19641681015491486,0.9120000004768372,0.30995023250579834
0,0.9089999794960022,0.29455241560935974,0.9200000166893005,0.2699178159236908
1,0.9300000071525574,0.23204642534255981,0.9186999797821045,0.27657514810562134
2,0.9340000152587891,0.2131257802248001,0.9114000201225281,0.2890714704990387
3,0.9440000057220459,0.1644722819328308,0.9128000140190125,0.2970474660396576
4,0.9409999847412109,0.1702924519777298,0.9180999994277954,0.27833572030067444
0,0.9160000085830688,0.2528035044670105,0.9247999787330627,0.24390846490859985
1,0.9309999942779541,0.20203322172164917,0.9264000058174133,0.24069194495677948
2,0.9509999752044678,0.15686598420143127,0.9207000136375427,0.26340121030807495
3,0.949999988079071,0.1642480492591858,0.9225999712944031,0.25620707869529724
4,0.968999981880188,0.10667052865028381,0.9226999878883362,0.27226680517196655
0,0.9309999942779541,0.22822022438049316,0.9257000088691711,0.2449592500925064
1,0.9440000057220459,0.17000055313110352,0.9211000204086304,0.26065370440483093
2,0.9549999833106995,0.1423492431640625,0.9277999997138977,0.24223469197750092
3,0.9649999737739563,0.12034926563501358,0.927299976348877,0.23873955011367798
4,0.9589999914169312,0.126487597823143,0.925599992275238,0.24804508686065674
0,0.9200000166893005,0.24948467314243317,0.9332000017166138,0.22194533050060272
1,0.9399999976158142,0.1715622991323471,0.9180999994277954,0.26631346344947815
2,0.9449999928474426,0.15662714838981628,0.9230999946594238,0.2476162612438202
3,0.9589999914169312,0.11468622833490372,0.9248999953269958,0.25620654225349426
4,0.9610000252723694,0.1134958416223526,0.9261999726295471,0.2507516145706177
0,0.9430000185966492,0.1829317957162857,0.9386000037193298,0.19993411004543304
1,0.9490000009536743,0.14431537687778473,0.934499979019165,0.21479059755802155
2,0.9629999995231628,0.1285422295331955,0.9362999796867371,0.2171039581298828
3,0.9660000205039978,0.10255324095487595,0.9394000172615051,0.20864635705947876
4,0.972000002861023,0.09507463872432709,0.9294000267982483,0.24363566935062408
0,0.9430000185966492,0.17778272926807404,0.9451000094413757,0.18563738465309143
1,0.953000009059906,0.12132605910301208,0.9334999918937683,0.22264373302459717
2,0.972000002861023,0.11207716166973114,0.9394999742507935,0.2165193110704422
3,0.9670000076293945,0.09930248558521271,0.9427000284194946,0.2130100280046463
4,0.9750000238418579,0.084312804043293,0.9351999759674072,0.24142062664031982
0,0.9520000219345093,0.14801296591758728,0.934499979019165,0.21338000893592834
1,0.9539999961853027,0.1291758120059967,0.9449999928474426,0.18851235508918762
2,0.9629999995231628,0.11160783469676971,0.9448999762535095,0.19824205338954926
3,0.9829999804496765,0.06518805772066116,0.9444000124931335,0.20964953303337097
4,0.9789999723434448,0.06462495028972626,0.9433000087738037,0.21650871634483337
0,0.949999988079071,0.15316586196422577,0.9491999745368958,0.1705564260482788
1,0.9599999785423279,0.12514875829219818,0.944599986076355,0.19551832973957062
2,0.9629999995231628,0.10421358048915863,0.9348000288009644,0.2185869663953781
3,0.9710000157356262,0.08643501996994019,0.9426000118255615,0.20404641330242157
4,0.9760000109672546,0.06373324990272522,0.945900022983551,0.2014564871788025
0,0.9559999704360962,0.13839508593082428,0.9532999992370605,0.15921755135059357
1,0.9769999980926514,0.08235066384077072,0.9466999769210815,0.19094634056091309
2,0.9739999771118164,0.09037196636199951,0.9452999830245972,0.1891983449459076
3,0.984000027179718,0.055592846125364304,0.948199987411499,0.19770017266273499
4,0.9829999804496765,0.049845822155475616,0.9505000114440918,0.2023593932390213
0,0.9599999785423279,0.12731212377548218,0.9460999965667725,0.17637893557548523
1,0.9629999995231628,0.10984035581350327,0.9527999758720398,0.16086392104625702
2,0.9760000109672546,0.08251211792230606,0.9469000101089478,0.18958081305027008
3,0.984000027179718,0.06364981085062027,0.95169997215271,0.17951379716396332
4,0.9919999837875366,0.0468185655772686,0.9473999738693237,0.18968966603279114
0,0.9639999866485596,0.12818032503128052,0.9506999850273132,0.16911661624908447
1,0.9729999899864197,0.09736020117998123,0.9477999806404114,0.1810939460992813
2,0.972000002861023,0.08952100574970245,0.9447000026702881,0.19478972256183624
3,0.9800000190734863,0.05871298909187317,0.9542999863624573,0.17615845799446106
4,0.9900000095367432,0.04329985752701759,0.9524999856948853,0.18369998037815094
0,0.9660000205039978,0.10340114682912827,0.9514999985694885,0.17017753422260284
1,0.9769999980926514,0.08457601815462112,0.9545999765396118,0.16083495318889618
2,0.9819999933242798,0.07075213640928268,0.9521999955177307,0.17198330163955688
3,0.9800000190734863,0.058174487203359604,0.949400007724762,0.1906035840511322
4,0.9879999756813049,0.038478098809719086,0.955299973487854,0.17533275485038757
0,0.9620000123977661,0.11669005453586578,0.9538999795913696,0.1575889140367508
1,0.9639999866485596,0.10119476914405823,0.9462000131607056,0.2030835598707199
2,0.9679999947547913,0.08888177573680878,0.953000009059906,0.17259760200977325
3,0.9810000061988831,0.06143239885568619,0.9503999948501587,0.1808653473854065
4,0.9890000224113464,0.044903796166181564,0.9531000256538391,0.18536654114723206
0,0.9700000286102295,0.11663121730089188,0.9549000263214111,0.15249910950660706
1,0.9729999899864197,0.09131130576133728,0.9516000151634216,0.1775631606578827
2,0.9769999980926514,0.07747451961040497,0.9573000073432922,0.15994347631931305
3,0.9900000095367432,0.042191654443740845,0.9563000202178955,0.17104680836200714
4,0.9850000143051147,0.03948388248682022,0.9513000249862671,0.17648692429065704
0,0.9789999723434448,0.09940771013498306,0.9521999955177307,0.16570895910263062
1,0.9750000238418579,0.0789739191532135,0.958899974822998,0.14433792233467102
2,0.984000027179718,0.05542998015880585,0.9502000212669373,0.18363170325756073
3,0.984000027179718,0.0450255312025547,0.9581000208854675,0.17011965811252594
4,0.9850000143051147,0.04135013371706009,0.9581000208854675,0.16367529332637787
0,0.9710000157356262,0.09466113895177841,0.9559000134468079,0.15730144083499908
1,0.9829999804496765,0.060563258826732635,0.953000009059906,0.17306649684906006
2,0.9850000143051147,0.06185216084122658,0.9603000283241272,0.1591176837682724
3,0.9779999852180481,0.052661772817373276,0.9506000280380249,0.1984473168849945
4,0.9829999804496765,0.050990477204322815,0.9556000232696533,0.18800857663154602
0,0.9700000286102295,0.09602104872465134,0.9591000080108643,0.15053988993167877
1,0.9760000109672546,0.07609297335147858,0.9559999704360962,0.153723806142807
2,0.9860000014305115,0.05469817295670509,0.9595000147819519,0.15538549423217773
3,0.9919999837875366,0.0353793129324913,0.9606000185012817,0.15697473287582397
4,0.9959999918937683,0.018003152683377266,0.9613999724388123,0.16655848920345306
0,0.9700000286102295,0.10027395933866501,0.9563000202178955,0.1542804092168808
1,0.9760000109672546,0.0894603505730629,0.9616000056266785,0.1395973414182663
2,0.9869999885559082,0.045252762734889984,0.954800009727478,0.16670869290828705
3,0.9869999885559082,0.03760220855474472,0.9605000019073486,0.15419110655784607
4,0.9909999966621399,0.030111631378531456,0.9609000086784363,0.15639877319335938
0,0.9700000286102295,0.08161181211471558,0.9588000178337097,0.1554678976535797
1,0.972000002861023,0.09005199372768402,0.9519000053405762,0.1863543540239334
2,0.972000002861023,0.07198012620210648,0.9535999894142151,0.17874939739704132
3,0.9890000224113464,0.03772687166929245,0.9556000232696533,0.17394496500492096
4,0.9919999837875366,0.026475470513105392,0.9569000005722046,0.16664856672286987
0,0.9789999723434448,0.07926751673221588,0.9553999900817871,0.1673472374677658
1,0.9729999899864197,0.08727806806564331,0.9559999704360962,0.16028670966625214
2,0.9879999756813049,0.045517586171627045,0.9577999711036682,0.16364744305610657
3,0.9869999885559082,0.039285678416490555,0.9632999897003174,0.1538315862417221
4,0.9869999885559082,0.040228214114904404,0.957099974155426,0.17400908470153809
0,0.968999981880188,0.08378565311431885,0.9606999754905701,0.15378734469413757
1,0.9810000061988831,0.061675313860177994,0.9535999894142151,0.17965790629386902
2,0.9860000014305115,0.04195953905582428,0.9617999792098999,0.14836366474628448
3,0.9940000176429749,0.022593963891267776,0.9613999724388123,0.1592589020729065
4,0.9909999966621399,0.02428101934492588,0.958899974822998,0.17220854759216309
0,0.9789999723434448,0.07079960405826569,0.9593999981880188,0.15313050150871277
1,0.9819999933242798,0.0710880309343338,0.9613000154495239,0.14614459872245789
2,0.9929999709129333,0.03524771332740784,0.9606999754905701,0.1552436649799347
3,0.9900000095367432,0.030631722882390022,0.9602000117301941,0.15646328032016754
4,0.9919999837875366,0.023923086002469063,0.9592999815940857,0.17300307750701904
0,0.9819999933242798,0.06880345940589905,0.9605000019073486,0.14744022488594055
1,0.9829999804496765,0.06796594709157944,0.9527999758720398,0.17171913385391235
2,0.9890000224113464,0.04672922566533089,0.9595999717712402,0.16315197944641113
3,0.9909999966621399,0.03748632222414017,0.9611999988555908,0.15444402396678925
4,0.9879999756813049,0.03294342756271362,0.9602000117301941,0.16227208077907562
0,0.9869999885559082,0.06607857346534729,0.9624000191688538,0.14943021535873413
1,0.9860000014305115,0.04877149313688278,0.9638000130653381,0.1429755687713623
2,0.9879999756813049,0.044232819229364395,0.9635000228881836,0.14424893260002136
3,0.9940000176429749,0.02724415995180607,0.9639000296592712,0.14594583213329315
4,0.9959999918937683,0.01753704622387886,0.9646000266075134,0.14543810486793518
0,0.9800000190734863,0.06569801270961761,0.9588000178337097,0.15498164296150208
1,0.9829999804496765,0.05516279116272926,0.9653000235557556,0.1337745487689972
2,0.9869999885559082,0.03943830356001854,0.9639000296592712,0.15335778892040253
3,0.9909999966621399,0.02786293998360634,0.961899995803833,0.16003791987895966
4,0.9909999966621399,0.020590083673596382,0.9635999798774719,0.15907810628414154
0,0.9779999852180481,0.07502379268407822,0.9613999724388123,0.14137090742588043
1,0.9850000143051147,0.055286705493927,0.9656000137329102,0.13961924612522125
2,0.9879999756813049,0.037743378430604935,0.9652000069618225,0.14160113036632538
3,0.9900000095367432,0.028252029791474342,0.9664999842643738,0.1444295197725296
4,0.9959999918937683,0.013204433023929596,0.9657999873161316,0.15304525196552277
0,0.9779999852180481,0.0629073977470398,0.9639000296592712,0.14552971720695496
1,0.9879999756813049,0.04681935906410217,0.9625999927520752,0.147831529378891
2,0.9909999966621399,0.03288270905613899,0.9634000062942505,0.14482279121875763
3,0.9879999756813049,0.025714831426739693,0.9598000049591064,0.16137003898620605
4,0.9919999837875366,0.02196010760962963,0.9616000056266785,0.1763884276151657
0,0.9890000224113464,0.04749780148267746,0.9652000069618225,0.13492794334888458
1,0.9860000014305115,0.046640731394290924,0.9672999978065491,0.1276477724313736
2,0.9819999933242798,0.04557982459664345,0.9657999873161316,0.15238630771636963
3,0.9890000224113464,0.03513193875551224,0.9635999798774719,0.15370410680770874
4,0.9940000176429749,0.020477978512644768,0.9617000222206116,0.1593705415725708
0,0.9900000095367432,0.05171642079949379,0.9656999707221985,0.14629730582237244
