round,server_s,client_s,comm_bytes
1,295.9905853000091,39.11430105999898,15763832
2,259.82040929999494,32.498560809997436,31527664
3,239.00135040000896,23.06235811999941,31527664
4,246.04639259999385,24.330227440000453,31527664
5,270.1940765999898,26.088508040001035,31527664
6,241.4974227000057,24.99058565000014,31527664
7,238.74613869999303,23.467268429997784,31527664
8,235.93500759999733,23.413794170001346,31527664
9,256.4339103999955,23.057651119999356,31527664
10,345.301172499996,31.894919280000614,31527664
11,339.18404610001016,34.63542829000071,31527664
12,250.0774315999879,29.329812809999567,31527664
13,226.5250773000007,22.506976589999976,31527664
14,225.37411590000556,22.57705277000059,31527664
15,225.43061840000155,22.316429929998414,31527664
16,225.36854609999864,22.32015693000285,31527664
17,229.97708250000142,22.408966769999825,31527664
18,224.97807209999883,22.37690838000126,31527664
19,228.07047349998902,22.35061076000129,31527664
20,228.93094239999482,22.253263329999754,31527664
21,226.57349219999742,22.353371819999303,31527664
22,224.9596595000039,22.303786799999944,31527664
23,225.43850419999217,22.36596108000085,31527664
24,224.77729759999784,22.447530780003582,31527664
25,232.99825999999302,22.54023779999843,31527664
26,225.6640492000006,22.34922760999907,31527664
27,227.35195849998854,22.465585989999816,31527664
28,224.91382430000522,22.432920579999337,31527664
29,225.41826829999627,22.43452843000123,31527664
30,225.31223260000115,22.503139349998673,31527664
